@RELATION gpa

@ATTRIBUTE	mobile-time		{ 0-3, 3-6, 6-9, 9-12, 12-15, 15+ }
@ATTRIBUTE	facebook-time		{ 0-3, 3-6, 6-9, 9-12, 12-15, 15+ }
@ATTRIBUTE	youtube-time		{ 0-3, 3-6, 6-9, 9-12, 12-15, 15+ }
@ATTRIBUTE	pinterest-time		{ 0-3, 3-6, 6-9, 9-12, 12-15, 15+ }
@ATTRIBUTE	netflix-hulu-time	{ 0-3, 3-6, 6-9, 9-12, 12-15, 15+ }
@ATTRIBUTE	tv-movie-time		{ 0-3, 3-6, 6-9, 9-12, 12-15, 15+ }
@ATTRIBUTE	gaming-time		{ 0-3, 3-6, 6-9, 9-12, 12-15, 15+ }
@ATTRIBUTE	websurf-time		{ 0-3, 3-6, 6-9, 9-12, 12-15, 15+ }
@ATTRIBUTE	gender			{ Male, Female }
@ATTRIBUTE	credits			CONTINUOUS
@ATTRIBUTE	gpa			CONTINUOUS

@DATA
6-9,0-3,0-3,0-3,0-3,3-6,0-3,3-6,Male,12,3.37
0-3,0-3,0-3,0-3,0-3,0-3,0-3,0-3,Female,16,3.6
9-12,3-6,0-3,0-3,6-9,3-6,0-3,3-6,Male,14,3.8
12-15,6-9,0-3,0-3,6-9,0-3,0-3,9-12,Female,17.5,3.34
6-9,3-6,0-3,0-3,3-6,3-6,0-3,0-3,Female,14,3.3
3-6,0-3,0-3,0-3,0-3,0-3,0-3,0-3,Female,14,3.94
3-6,0-3,0-3,0-3,3-6,6-9,0-3,0-3,Female,15,3.4
6-9,0-3,0-3,3-6,9-12,3-6,0-3,9-12,Female,15,3.2
9-12,6-9,0-3,0-3,6-9,0-3,0-3,9-12,Female,15,3.6
3-6,3-6,0-3,0-3,0-3,3-6,0-3,3-6,Female,16,3.7
9-12,0-3,3-6,0-3,6-9,3-6,0-3,0-3,Female,11,3
0-3,0-3,0-3,0-3,0-3,0-3,0-3,0-3,Female,15,3.8
3-6,0-3,0-3,0-3,0-3,3-6,0-3,9-12,Female,12.5,3.3
0-3,0-3,0-3,0-3,3-6,0-3,0-3,0-3,Female,16,4
15+,15+,6-9,0-3,0-3,3-6,0-3,12-15,Male,12,3.7
0-3,0-3,3-6,0-3,0-3,0-3,0-3,0-3,Male,15,3.8
0-3,3-6,0-3,0-3,0-3,0-3,0-3,6-9,Female,14.5,3.6
9-12,0-3,3-6,0-3,3-6,3-6,0-3,12-15,Female,14,3.7
6-9,0-3,3-6,0-3,6-9,0-3,0-3,6-9,Male,14,4
0-3,0-3,0-3,0-3,0-3,0-3,0-3,0-3,Male,15,2.8
0-3,0-3,0-3,0-3,3-6,0-3,0-3,0-3,Female,16,3.77
0-3,3-6,0-3,0-3,0-3,3-6,0-3,15+,Female,15,3.5
15+,6-9,0-3,6-9,6-9,3-6,0-3,0-3,Female,15,3.9
3-6,0-3,0-3,0-3,0-3,0-3,0-3,0-3,Female,13,3.6
3-6,0-3,0-3,0-3,0-3,0-3,0-3,0-3,Female,13,3.6
9-12,3-6,0-3,0-3,0-3,0-3,0-3,9-12,Female,12,4
6-9,0-3,9-12,0-3,0-3,3-6,0-3,12-15,Male,15.5,3.4
0-3,0-3,0-3,0-3,0-3,0-3,0-3,6-9,Male,14,3.8
15+,3-6,0-3,0-3,0-3,3-6,0-3,6-9,Female,15,3.7
3-6,0-3,0-3,0-3,9-12,3-6,0-3,3-6,Female,14,4
0-3,3-6,0-3,0-3,0-3,0-3,0-3,3-6,Female,15,3.6
12-15,3-6,0-3,3-6,3-6,0-3,0-3,9-12,Female,15,3.7
